TITLE="5runs_phase_avg_adim_subtracted_mean" 
Variables="x/c","y/c","z/c","u'/Udeb","v'/Udeb","w'/Udeb"
ZONE T="10", I=289, J=214, SOLUTIONTIME=0.200000
0.3334140000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.340082 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.34675000000000006 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.35341800000000007 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.360088 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.366756 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.37342400000000003 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.3800920000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.38676 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.39342800000000006 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.40009600000000006 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.406766 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.413434 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.42010200000000003 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.4267700000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.433438 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.44010600000000005 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.44677400000000006 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.45344400000000007 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.460112 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.46678000000000003 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.4734480000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.480116 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.48678400000000005 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.49345200000000006 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.50012 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.5067900000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.5134580000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.5201260000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.526794 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.533462 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.54013 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.5467980000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.5534680000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.5601360000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.5668040000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.573472 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.58014 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.586808 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.5934760000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.6001460000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.6068140000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.6134820000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.62015 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.626818 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.633486 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.640154 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.6468240000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.653492 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.6601600000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.666828 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.6734960000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.680164 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.686832 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.6935000000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.70017 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.7068380000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.713506 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.7201740000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.726842 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.73351 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.7401780000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.746848 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.7535154 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.7601838000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.7668520000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.7735202000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.7801886 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.7868568 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.7935251999999999 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8001933999999999 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8068616 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8135300000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8201982000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8268664000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8335348 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.840203 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8468713999999999 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8535396 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8602078 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8668762000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8735444000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8802126 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.886881 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.8935492 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.9002176 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.9068858 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.913554 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.9202224000000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.9268906 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.9335589 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.9402271799999999 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.94689544 -1.6506399999999999 0.7 0.0 -0.0 0.0
